state,population,gdp_per_capita
Andaman & Nicobar,380581,2890
Andhra Pradesh,49577103,2824
Arunachal Pradesh,1383727,2457
Assam,31205576,1410
Bihar,104099452,826
Chandigarh,1055450,5590
Chhattisgarh,25545198,1801
Delhi,16787941,7148
Goa,1458545,6856
Gujarat,60439692,3475
Haryana,25351462,4733
Himachal Pradesh,6864602,3351
Jammu and Kashmir,12541032,1754
Jharkhand,32988134,1394
Karnataka,61095297,3928
Kerala,33406061,3293
Madhya Pradesh,72626809,1790
Maharashtra,112374333,3560
Manipur,2570390,1517
Meghalaya,2966889,1719
Mizoram,1097206,2461
Nagaland,1978502,1921
Odisha,41974219,1763
Puducherry,1247953,4567
Punjab,27743338,2920
Rajasthan,68548437,2042
Sikkim,610577,7534
Tamil Nadu,72147030,3604
Telangana,35003674,4000
Tripura,3673917,1769
Uttar Pradesh,199812341,1251
Uttarakhand,10086292,3371
West Bengal,91276115,1972